YEAR,MONTH,LINE_SEG_NBR,TRACK_SDTK_NBR,MILEPOST_START,MILEPOST_END,TOT_CAR_EAST,TOT_CAR_WEST,TOT_TRN_EAST,TOT_TRN_WEST,TOT_DFLT_MGT
2011, 5,3,1,6.100,7.300,598,598,76,398,1.655313
2011, 5,3,1,7.300,13.201,700,700,88,417,1.748658
2011, 5,3,2,7.300,13.201,2368,2368,467,51,1.661644
2011, 5,3,2,13.201,14.399,2783,2783,435,54,1.656782
2011, 5,3,1,13.201,14.399,1547,1547,180,468,2.175910
2011, 5,3,1,14.400,15.100,1594,1594,155,483,2.272464
2011, 5,3,2,14.400,15.100,7570,7570,467,72,2.367865
2011, 5,3,2,4.600,5.800,1405,1405,116,16,0.338132
2011, 5,3,1,4.600,5.800,1099,1099,59,14,0.255984
2011, 5,3,2,5.800,6.100,1425,1425,119,9,0.336179
2011, 5,3,1,5.800,6.100,1132,1132,35,10,0.217799
2011, 5,3,2,6.100,7.300,1145,1145,402,54,1.428538
2011, 5,3,2,36.000,41.500,12982,12982,746,98,4.105990
2011, 5,3,2,41.500,46.000,12409,12409,725,66,3.885530
2011, 5,3,1,46.000,48.270,1084,1084,142,470,3.132372
2011, 5,3,2,46.000,48.270,8908,8908,475,50,2.865704
2011, 5,3,2,48.270,49.599,8913,8913,554,77,3.496570
2011, 5,3,1,15.100,15.500,947,947,196,501,2.965807
2011, 5,3,2,15.100,17.599,8464,8464,416,95,2.522559
2011, 5,3,1,15.500,17.299,1796,1796,69,454,2.499840
2011, 5,3,1,17.299,17.599,866,866,194,374,2.383853
2011, 5,3,1,17.599,18.700,1418,1418,86,451,2.599327
2011, 5,3,2,17.599,29.299,8497,8497,666,62,3.459537
2011, 5,3,1,18.700,29.299,1386,1386,70,533,3.091349
2011, 5,3,2,29.300,36.000,9309,9309,655,45,3.358277
2011, 5,3,1,29.300,46.000,1101,1101,96,535,3.261271
2011, 5,3,2,89.800,91.499,10488,10488,745,55,4.423786
2011, 5,3,1,89.800,91.499,1761,1761,158,680,5.124182
2011, 5,3,2,91.499,95.800,12939,12939,752,46,4.561666
2011, 5,3,1,91.499,95.800,1767,1767,181,718,5.468161
2011, 5,3,2,95.800,109.899,14477,14477,846,59,5.178847
2011, 5,3,1,95.800,109.899,979,979,91,705,4.874690
2011, 5,3,2,109.900,119.550,14869,14869,850,44,5.130066
2011, 5,3,1,48.270,57.199,1014,1014,149,622,4.423235
2011, 5,3,2,49.600,57.200,9829,9829,755,127,5.192147
2011, 5,3,2,57.200,70.800,11660,11660,812,56,4.921261
2011, 5,3,1,57.200,70.800,587,587,91,670,4.615383
2011, 5,3,1,70.800,84.399,509,509,74,676,4.573300
2011, 5,3,2,70.800,84.399,12112,12112,830,52,4.981517
2011, 5,3,1,84.400,89.800,1761,1761,158,676,5.099506
2011, 5,3,2,84.400,89.800,10541,10541,746,47,4.425856
2011, 5,3,1,139.500,149.510,2171,2171,120,685,5.058169
2011, 5,3,2,139.500,149.510,14397,14397,865,108,5.522333
2011, 5,3,1,149.510,158.400,1885,1885,113,663,4.758185
2011, 5,3,2,149.510,158.400,15206,15206,873,129,5.827919
2011, 5,3,2,158.400,173.700,14663,14663,849,140,5.677615
2011, 5,3,1,158.400,173.700,3048,3048,139,653,4.921734
2011, 5,3,1,173.700,180.000,3626,3626,203,622,5.148187
2011, 5,3,1,109.900,119.550,1341,1341,88,720,4.968968
2011, 5,3,1,119.550,129.100,817,817,70,718,4.858568
2011, 5,3,2,119.550,129.100,15220,15220,865,50,5.245059
2011, 5,3,2,129.100,131.978,14362,14362,825,41,4.995608
2011, 5,3,1,129.100,131.978,1906,1906,113,725,5.108638
2011, 5,3,1,131.978,138.100,1199,1199,77,701,4.770648
2011, 5,3,2,131.978,138.100,15196,15196,857,63,5.303176
2011, 5,3,2,138.100,139.500,13891,13891,818,63,5.007980
2011, 5,3,1,138.100,139.500,2561,2561,120,704,5.085841
2011, 5,3,2,200.700,208.899,6537,6537,922,77,5.643700
2011, 5,3,1,200.700,208.899,603,603,93,887,7.047618
2011, 5,3,1,208.900,218.899,603,603,43,896,6.842930
2011, 5,3,2,208.900,218.899,6446,6446,971,68,5.867343
2011, 5,3,1,218.900,230.700,635,635,60,879,6.890500
2011, 5,3,2,218.900,230.700,6364,6364,952,84,5.806331
2011, 5,3,1,230.700,234.000,1063,1063,138,794,6.614920
2011, 5,3,2,173.700,180.000,14240,14240,787,173,5.481063
2011, 5,3,1,180.000,184.401,4078,4078,267,620,5.485585
2011, 5,3,2,180.000,184.401,13417,13417,718,173,5.122757
2011, 5,3,2,184.401,185.000,3994,3994,613,103,4.009232
2011, 5,3,1,184.401,185.000,853,853,141,552,4.413237
2011, 5,3,2,185.000,191.899,4132,4132,724,104,4.878592
2011, 5,3,1,185.000,191.899,1679,1679,289,860,7.794167
2011, 5,3,2,191.900,200.700,6220,6220,928,73,5.736074
2011, 5,3,1,191.900,200.700,782,782,86,890,6.948250
2011, 5,3,2,263.000,264.799,3555,3555,844,229,6.554995
2011, 5,3,1,264.800,276.799,921,921,156,821,6.979570
2011, 5,3,2,264.800,276.799,3790,3790,807,121,5.519109
2011, 5,3,2,276.800,290.000,4470,4470,833,85,5.438714
2011, 5,3,1,276.800,290.000,544,544,127,855,7.055626
2011, 5,3,2,290.000,292.000,4046,4046,870,145,6.112198
2011, 5,3,1,290.000,292.000,319,319,90,794,6.384451
2011, 5,3,2,230.700,234.000,5794,5794,870,168,6.047825
2011, 5,3,2,234.000,236.297,2449,2449,696,198,5.416586
2011, 5,3,1,234.000,236.297,561,561,110,651,5.538613
2011, 5,3,1,236.297,246.200,988,988,236,699,6.554939
2011, 5,3,2,236.297,246.200,2723,2723,727,238,5.892927
2011, 5,3,1,246.200,263.000,612,612,166,771,6.647645
2011, 5,3,2,246.200,263.000,3244,3244,793,168,5.817149
2011, 5,3,1,263.000,264.799,509,509,115,713,5.926657
2011, 5,3,2,330.900,346.900,3522,3522,840,126,5.914391
2011, 5,3,1,346.900,349.299,236,236,57,763,5.917251
2011, 5,3,2,346.900,349.300,3887,3887,900,180,6.587505
2011, 5,3,2,349.300,360.700,3902,3902,861,81,5.649520
2011, 5,3,1,349.300,360.700,359,359,94,863,6.863565
2011, 5,3,2,360.700,374.299,4360,4360,868,86,5.756279
2011, 5,3,1,360.700,374.299,444,444,88,856,6.754217
2011, 5,3,2,292.000,300.299,4077,4077,839,112,5.735484
2011, 5,3,1,292.000,300.299,461,461,120,828,6.762254
2011, 5,3,2,300.299,313.160,4161,4161,857,96,5.777131
2011, 5,3,1,300.299,313.160,348,348,102,844,6.726406
2011, 5,3,2,313.160,329.298,3213,3213,825,102,5.615789
2011, 5,3,1,313.160,329.300,508,508,136,839,6.904752
2011, 5,3,2,329.298,330.900,3668,3668,884,163,6.398188
2011, 5,3,1,329.300,330.900,273,273,77,774,6.070615
2011, 5,3,1,330.900,346.900,398,398,117,815,6.576548
2011, 5,3,0,424.938,426.335,5086,5086,971,995,12.768427
2011, 5,3,1,426.335,436.500,964,964,107,844,6.677846
2011, 5,3,2,426.335,436.500,5035,5035,873,152,6.156038
2011, 5,3,3,436.500,440.779,12512,12512,868,18,8.888307
2011, 5,3,1,436.500,440.779,1100,1100,148,882,7.101851
2011, 5,3,2,436.500,440.779,2712,2712,462,101,3.404582
2011, 5,3,1,440.779,444.329,1000,1000,131,847,6.745614
2011, 5,3,2,374.300,388.763,4048,4048,851,67,5.488709
2011, 5,3,1,374.300,388.763,762,762,106,873,6.991406
2011, 5,3,2,388.763,405.555,16291,16291,1113,106,6.740387
2011, 5,3,1,388.763,405.555,994,994,114,1124,7.915093
2011, 5,3,1,405.555,417.922,433,433,110,1013,7.300255
2011, 5,3,3,405.555,417.922,11317,11317,281,113,1.914819
2011, 5,3,2,405.555,417.922,6901,6901,836,107,5.436486
2011, 5,3,2,417.922,424.938,5287,5287,858,110,5.772570
2011, 5,3,1,417.922,424.938,632,632,110,885,6.961536
2011, 5,3,2,440.779,444.329,3266,3266,439,133,3.817257
2011, 5,3,3,440.779,444.329,12046,12046,875,28,8.493256
2011, 5,4,1,27.000,27.169,10864,4953,129,129,2.000582
2011, 5,4,2,27.000,27.169,10864,4953,129,129,2.000582
2011, 5,4,0,27.169,29.825,17470,11761,223,223,3.439999
2011, 5,4,0,29.825,33.770,12497,13930,181,181,2.784466
2011, 5,4,0,33.770,36.180,12489,13925,180,180,2.783666
2011, 5,4,0,36.180,43.000,12429,13908,175,175,2.786066
2011, 5,4,0,43.000,44.770,13113,14657,169,169,3.000966
2011, 5,4,0,4.100,5.200,10276,10117,179,179,1.817400
2011, 5,4,0,5.200,6.300,10276,10117,179,179,2.546566
2011, 5,4,0,6.300,11.000,10276,10117,155,155,2.546566
2011, 5,4,0,11.000,24.220,10518,10124,161,161,2.578866
2011, 5,4,1,24.220,27.000,10702,4956,127,127,1.951624
