LINE_SEG_NBR,MILEPOST,TRACK_SDTK_NBR,TEST_DT,DEF_NBR,GEO_CAR_NME,DEF_PRTY,DEF_LGTH,DEF_AMPLTD,TSC_CD,CLASS,TEST_FSPD,TEST_PSPD,DFCT_TYPE
3,408.25397,2,25Jan2013,898,GEO505,YEL,3,0.9,T,5,70,79,XLEVEL
3,434.91913,1,28Jan2013,1042,GEO505,YEL,8,0.95,T,5,70,79,XLEVEL
3,234.36591,1,30Jan2013,55680,GEO105,RED,67,1.24,T,5,70,90,XLEVEL
3,234.39413,1,30Jan2013,55681,GEO105,YEL,2,0.87,T,5,70,79,XLEVEL
3,234.52727,1,30Jan2013,55682,GEO105,YEL,5,-1.07,T,5,70,90,SURFACE
3,243.42546,1,30Jan2013,55696,GEO105,YEL,4,-1.09,T,5,70,90,SURFACE
3,256.08957,1,30Jan2013,55706,GEO105,YEL,10,-1.18,T,5,70,90,SURFACE
3,256.09167,1,30Jan2013,55707,GEO105,YEL,5,-1.08,T,5,70,90,SURFACE
3,262.45132,1,30Jan2013,55708,GEO105,YEL,3,-1.14,T,5,70,90,SURFACE
3,262.45264,1,30Jan2013,55709,GEO105,YEL,6,1.46,T,5,70,90,DIP
3,264.32596,1,30Jan2013,55711,GEO105,YEL,3,-1.01,T,5,70,90,SURFACE
3,264.85626,1,30Jan2013,55713,GEO105,YEL,2,-1,T,5,70,90,SURFACE
3,265.957,1,30Jan2013,55714,GEO105,YEL,3,1.3,T,5,70,90,DIP
3,265.95984,1,30Jan2013,55715,GEO105,YEL,7,-1.13,T,5,70,90,SURFACE
3,265.95966,1,30Jan2013,55716,GEO105,YEL,7,-1.25,T,5,70,90,SURFACE
3,277.8472,1,30Jan2013,55719,GEO105,YEL,4,-1.02,C,5,70,85,SURFACE
3,277.8472,1,30Jan2013,55720,GEO105,YEL,7,-1.1,C,5,70,85,SURFACE
3,285.23932,1,30Jan2013,55725,GEO105,YEL,3,1.5,T,5,70,85,DIP
3,287.19098,1,30Jan2013,55726,GEO105,YEL,3,1.33,T,5,70,85,DIP
3,287.19403,1,30Jan2013,55727,GEO105,YEL,3,-1.12,T,5,70,85,SURFACE
3,287.19403,1,30Jan2013,55728,GEO105,YEL,3,-1.18,T,5,70,85,SURFACE
3,287.26608,1,30Jan2013,55729,GEO105,YEL,14,1.43,T,5,70,85,DIP
3,288.88669,1,30Jan2013,55736,GEO105,YEL,4,1.35,T,5,70,90,DIP
3,291.28864,1,30Jan2013,55743,GEO105,YEL,3,-1.04,T,5,70,90,SURFACE
3,291.28864,1,30Jan2013,55744,GEO105,YEL,3,-1.08,T,5,70,90,SURFACE
3,296.91748,1,30Jan2013,55749,GEO105,YEL,5,-1.11,T,5,70,85,SURFACE
3,300.38403,1,30Jan2013,55751,GEO105,YEL,3,-1.02,T,5,70,85,SURFACE
3,305.49658,1,30Jan2013,55752,GEO105,YEL,3,0.95,T,5,70,90,XLEVEL
3,308.28711,1,30Jan2013,55753,GEO105,YEL,5,1.38,C,5,70,90,DIP
3,308.28995,1,30Jan2013,55754,GEO105,YEL,6,-1.2,C,5,70,90,SURFACE
3,308.28976,1,30Jan2013,55755,GEO105,YEL,8,-1.22,C,5,70,90,SURFACE
3,312.58966,1,30Jan2013,55756,GEO105,YEL,9,0.94,T,5,70,85,XLEVEL
3,313.95547,1,30Jan2013,55757,GEO105,YEL,5,1.42,T,5,70,85,DIP
3,313.95831,1,30Jan2013,55758,GEO105,RED,7,-1.32,T,5,70,85,SURFACE
3,313.95831,1,30Jan2013,55759,GEO105,RED,10,-1.57,T,5,70,85,SURFACE
3,314.77164,1,30Jan2013,55760,GEO105,YEL,1,-1,T,5,70,85,SURFACE
3,323.12009,1,30Jan2013,55765,GEO105,YEL,10,1.34,T,5,70,90,DIP
3,323.125,1,30Jan2013,55766,GEO105,YEL,2,-1.06,T,5,70,90,SURFACE
3,323.59015,1,30Jan2013,55767,GEO105,YEL,2,-1.01,T,5,70,90,SURFACE
3,326.23581,1,30Jan2013,55768,GEO105,YEL,5,1.33,T,5,70,90,DIP
3,326.23865,1,30Jan2013,55769,GEO105,YEL,5,-1.12,T,5,70,90,SURFACE
3,326.23865,1,30Jan2013,55770,GEO105,YEL,7,-1.2,T,5,70,90,SURFACE
3,326.31931,1,30Jan2013,55771,GEO105,YEL,7,1.29,T,5,70,90,DIP
3,344.60345,1,30Jan2013,55785,GEO105,RED,5,1.53,T,5,70,90,DIP
3,344.60629,1,30Jan2013,55786,GEO105,RED,7,-1.43,T,5,70,90,SURFACE
3,344.60629,1,30Jan2013,55787,GEO105,RED,8,-1.51,T,5,70,90,SURFACE
3,344.7579,1,30Jan2013,55788,GEO105,YEL,4,1.32,T,5,70,90,DIP
3,347.08011,1,30Jan2013,55790,GEO105,YEL,2,-1.03,T,5,70,90,SURFACE
3,347.14224,1,30Jan2013,55791,GEO105,YEL,6,1.33,T,5,70,90,DIP
3,347.15851,1,30Jan2013,55792,GEO105,YEL,2,-1.03,T,5,70,90,SURFACE
3,347.49545,1,30Jan2013,55793,GEO105,YEL,5,-1.05,T,5,70,90,SURFACE
3,352.32501,1,30Jan2013,55795,GEO105,YEL,7,-1.15,T,5,70,90,SURFACE
3,352.32501,1,30Jan2013,55796,GEO105,YEL,8,-1.18,T,5,70,90,SURFACE
3,352.32785,1,30Jan2013,55797,GEO105,RED,10,1.6,T,5,70,90,DIP
3,352.33618,1,30Jan2013,55799,GEO105,RED,7,-1.29,T,5,70,90,SURFACE
3,352.33636,1,30Jan2013,55800,GEO105,RED,8,-1.27,T,5,70,90,SURFACE
3,369.96716,1,30Jan2013,55804,GEO105,YEL,3,-1.02,T,5,70,90,SURFACE
3,374.24716,1,30Jan2013,55806,GEO105,YEL,5,-1.08,T,5,70,90,SURFACE
3,374.2464,1,30Jan2013,55807,GEO105,RED,15,-1.01,T,5,70,90,XLEVEL
3,390.16666,1,30Jan2013,55812,GEO105,RED,9,-1.26,T,5,70,79,SURFACE
3,398.81894,1,30Jan2013,55814,GEO105,YEL,2,-1.02,T,5,70,79,SURFACE
3,400.57538,1,30Jan2013,55815,GEO105,YEL,6,-1.11,T,5,70,79,SURFACE
3,400.7034,1,30Jan2013,55816,GEO105,YEL,2,-1.03,T,5,70,79,SURFACE
3,420.06857,1,30Jan2013,55829,GEO105,YEL,1,-1,T,5,70,90,SURFACE
3,421.86438,1,30Jan2013,55831,GEO105,YEL,1,-1.01,T,5,70,90,SURFACE
3,421.8642,1,30Jan2013,55832,GEO105,RED,6,-1.29,T,5,70,90,SURFACE
3,421.86533,1,30Jan2013,55833,GEO105,YEL,3,1.37,T,5,70,90,DIP
3,422.67065,1,30Jan2013,55834,GEO105,RED,32,1.1,T,5,70,90,XLEVEL
3,434.43655,1,30Jan2013,55841,GEO105,RED,9,1.06,T,5,70,79,XLEVEL
3,434.73315,1,30Jan2013,55843,GEO105,RED,19,1.12,T,5,70,79,XLEVEL
3,434.7341,1,30Jan2013,55845,GEO105,YEL,11,0.99,T,5,70,79,XLEVEL
3,409.73618,1,30Jan2013,55821,GEO105,YEL,3,-1.02,T,5,70,79,SURFACE
3,409.73581,1,30Jan2013,55822,GEO105,RED,38,1.27,T,5,70,79,XLEVEL
3,436.26364,1,30Jan2013,55846,GEO105,YEL,16,0.98,T,5,70,75,XLEVEL
3,441.46838,1,30Jan2013,55852,GEO105,YEL,1,-1,T,5,70,79,SURFACE
3,312.52386,1,04Feb2013,1415,GEO505,YEL,6,0.89,T,5,70,85,XLEVEL
2,280.86505,0,13Feb2013,3712,GEO107,YEL,2,0.88,T,5,70,79,XLEVEL
2,280.85339,0,13Feb2013,3713,GEO107,YEL,19,1,T,5,70,79,XLEVEL
2,280.68365,0,13Feb2013,3714,GEO107,YEL,18,0.93,T,5,70,79,XLEVEL
2,277.13181,1,13Feb2013,3738,GEO107,YEL,9,1.63,T,4,50,55,DIP
2,277.1312,1,13Feb2013,3739,GEO107,YEL,2,-1.12,T,4,50,55,XLEVEL
2,277.12204,1,13Feb2013,3740,GEO107,RED,29,-1.41,T,4,50,55,XLEVEL
2,277.09955,1,13Feb2013,3742,GEO107,RED,160,-1.58,T,4,50,55,XLEVEL
2,275.92297,1,13Feb2013,3750,GEO107,RED,5,1.27,T,4,60,65,XLEVEL
2,275.92221,1,13Feb2013,3751,GEO107,YEL,5,1.18,T,4,60,65,XLEVEL
2,276.13702,2,13Feb2013,3757,GEO107,YEL,2,-1.75,T,2,11,11,XLEVEL
2,276.17239,2,13Feb2013,3758,GEO107,YEL,12,-1.97,T,2,11,11,XLEVEL
2,276.80942,2,13Feb2013,3762,GEO107,YEL,2,-1.76,T,2,11,11,XLEVEL
2,270,0,14Feb2013,3796,GEO107,YEL,4,-0.88,T,5,70,79,XLEVEL
2,267.42517,0,14Feb2013,3797,GEO107,YEL,37,1,T,5,70,79,XLEVEL
2,267.42499,0,14Feb2013,3798,GEO107,RED,2,1.02,T,5,70,79,XLEVEL
2,267.42462,0,14Feb2013,3799,GEO107,YEL,13,1,T,5,70,79,XLEVEL
2,258.8241,0,14Feb2013,3810,GEO107,RED,7,-1.02,T,5,70,79,XLEVEL
2,258.82373,0,14Feb2013,3811,GEO107,YEL,16,-1,T,5,70,79,XLEVEL
2,258.73962,0,14Feb2013,3812,GEO107,RED,20,-1.13,T,5,70,79,XLEVEL
2,258.73453,0,14Feb2013,3813,GEO107,RED,39,-1.12,T,5,70,79,XLEVEL
2,258.72833,0,14Feb2013,3814,GEO107,YEL,12,-0.96,T,5,70,79,XLEVEL
2,258.69797,0,14Feb2013,3815,GEO107,RED,14,-1.03,T,5,70,79,XLEVEL
2,258.15573,0,14Feb2013,3816,GEO107,YEL,3,-0.89,T,5,70,79,XLEVEL
2,205.0715,0,14Feb2013,3883,GEO107,YEL,6,-1.06,T,5,70,79,SURFACE
2,205.0717,0,14Feb2013,3884,GEO107,YEL,27,0.96,T,5,70,79,XLEVEL
2,204.9481,0,14Feb2013,3885,GEO107,RED,17,-1.1,T,5,70,79,XLEVEL
2,204.71043,0,14Feb2013,3886,GEO107,YEL,20,1,T,5,70,79,XLEVEL
2,204.25479,0,14Feb2013,3887,GEO107,YEL,4,1.28,T,5,70,79,DIP
2,203.68384,0,14Feb2013,3888,GEO107,RED,18,1.04,T,5,70,79,XLEVEL
2,199.58282,0,14Feb2013,3891,GEO107,YEL,3,1.3,T,5,70,79,DIP
2,199.58206,0,14Feb2013,3892,GEO107,YEL,4,-1.1,T,5,70,79,SURFACE
2,187.51765,0,14Feb2013,3897,GEO107,YEL,5,-0.96,T,5,70,79,XLEVEL
2,183.50954,0,14Feb2013,3898,GEO107,YEL,5,-1.23,T,5,70,79,SURFACE
2,182.14661,0,14Feb2013,3899,GEO107,YEL,56,-0.95,T,5,70,79,XLEVEL
2,182.03317,0,14Feb2013,3900,GEO107,RED,14,-1.3,T,5,70,79,XLEVEL
2,180.5701,0,14Feb2013,3901,GEO107,YEL,8,-0.96,T,5,70,79,XLEVEL
2,180.49954,0,14Feb2013,3902,GEO107,YEL,21,-0.9,T,5,70,79,XLEVEL
2,253.34116,0,14Feb2013,3829,GEO107,YEL,8,0.99,T,5,70,79,XLEVEL
2,251.4232,0,14Feb2013,3830,GEO107,YEL,6,-1.1,T,5,70,79,SURFACE
2,235.3308,0,14Feb2013,3832,GEO107,YEL,3,0.88,T,5,70,79,XLEVEL
2,234.99754,0,14Feb2013,3833,GEO107,YEL,8,1.29,T,5,70,79,DIP
2,234.83836,0,14Feb2013,3834,GEO107,YEL,7,-1.09,T,5,70,79,SURFACE
2,234.83665,0,14Feb2013,3835,GEO107,YEL,11,1.34,T,5,70,79,DIP
2,234.39996,0,14Feb2013,3836,GEO107,YEL,12,0.93,T,5,70,79,XLEVEL
2,233.73569,0,14Feb2013,3837,GEO107,YEL,14,0.98,T,5,70,79,XLEVEL
2,233.40176,0,14Feb2013,3838,GEO107,YEL,4,1.36,T,5,70,79,DIP
2,233.12566,0,14Feb2013,3839,GEO107,YEL,4,0.92,T,5,70,79,XLEVEL
2,233.10318,0,14Feb2013,3840,GEO107,RED,35,1.07,T,5,70,79,XLEVEL
2,233.08708,0,14Feb2013,3841,GEO107,RED,18,1.04,T,5,70,79,XLEVEL
2,232.99799,0,14Feb2013,3842,GEO107,RED,25,1.01,T,5,70,79,XLEVEL
2,232.99759,0,14Feb2013,3843,GEO107,YEL,29,1,T,5,70,79,XLEVEL
2,232.89461,0,14Feb2013,3844,GEO107,YEL,7,0.9,T,5,70,79,XLEVEL
2,232.84151,0,14Feb2013,3845,GEO107,YEL,23,0.92,T,5,70,79,XLEVEL
2,232.75121,0,14Feb2013,3846,GEO107,YEL,11,1.33,T,5,70,79,DIP
2,231.92369,0,14Feb2013,3848,GEO107,YEL,22,0.91,T,5,70,79,XLEVEL
2,230.93425,0,14Feb2013,3849,GEO107,YEL,4,-1.19,T,5,70,79,SURFACE
2,230.61009,0,14Feb2013,3851,GEO107,YEL,6,-0.93,T,5,70,79,XLEVEL
2,230.05948,0,14Feb2013,3853,GEO107,YEL,7,-1.1,T,5,70,79,SURFACE
2,228.26268,0,14Feb2013,3856,GEO107,YEL,1,-1.02,T,5,70,79,SURFACE
2,226.3886,0,14Feb2013,3868,GEO107,RED,6,1.05,T,5,70,79,XLEVEL
2,224.70515,0,14Feb2013,3870,GEO107,YEL,6,0.95,T,5,70,79,XLEVEL
2,223.93015,0,14Feb2013,3871,GEO107,YEL,6,0.88,T,5,70,79,XLEVEL
2,220.93388,0,14Feb2013,3872,GEO107,YEL,9,0.92,T,5,70,79,XLEVEL
2,205.29376,0,14Feb2013,3880,GEO107,YEL,4,1.28,T,5,70,79,DIP
2,205.29099,0,14Feb2013,3881,GEO107,RED,6,-1.3,T,5,70,79,SURFACE
2,205.29099,0,14Feb2013,3882,GEO107,RED,6,-1.26,T,5,70,79,SURFACE
